"title","author","journal","year","source","pages","volume","abstract","document_type","doi","url","affiliation","author_keywords","keywords","publisher","issn","language","note","created_at","updated_at","status"
"STUART: An intelligent tutoring system for increasing scalability of distance education courses","Damasceno, Adson R. P. and Martins, Alan Rabelo and Chagas, Matheus Lima and Barros, Eudenia Magalhaes and Maia, Paulo Henrique M. and Oliveira, Francisco C. M. B.","IHC 2020 - Proceedings of the 19th Brazilian Symposium on Human Factors in Computing Systems","2020","Scopus","","","Distance Education Courses in Virtual Learning Environments (VLE) employ tutors for pedagogical support, monitoring of students, and detecting possible dropouts. However, when courses have a higher number of students, there can be a work overload on human tutors, impacting their work quality. To mitigate this problem, artificial smart tutors can be used not only to increase the capacity to meet students' needs but also to improve the monitoring of their performance. Increasing the scalability of online courses can be achieved using an intelligent artificial tutor. Goal: Analyze the viability of an intelligent tutor in meeting the main tutoring demands made by students on Dell Accessible Learning platform. Method: We developed an artifact called STUART that monitors DAL and interacts with students, providing automation, intelligence, and support to the teaching and learning process. We programmed STUART to meet reactively and proactively students' main demands, based on the corpus of interactions scenarios on previous courses. Fourteen participants attended two classes of a Distance Education Course, with and without STUART, where interaction data were collected. Results: For 76% of the participants, STUART helped solve the more frequent problems in the pedagogical, technical, and content levels. There was an average reduction of 87% in the requests for a human tutor and a reduction of 27% in the time needed to finish tasks. That resulted in the preference of STUART compared to the human tutor for 85% of the students. SUS (usability assessment) scored 86.  © 2020 ACM.","Conference paper","10.1145/3424953.3426640","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85099715947&doi=10.1145%2f3424953.3426640&partnerID=40&md5=f95d5f51a6d70b9cfc8de43aad4c9eef","","","","","","","Cited by: 5","45630.959386574","45630.97681713","Duplicated"
"Human-computer interaction in intelligent tutoring systems","Toala, Ramón and Durães, Dalila and Novais, Paulo","Advances in Intelligent Systems and Computing","2020","Scopus","52 – 59","1003","Due to the rapid evolution of society, citizens are constantly being pressured to obtain new skills through training. The need for qualified people has grown exponentially, which means that the resources for education/training are significantly more limited, so it’s necessary to create systems that can solved this problem. The implementation of Intelligent Tutoring Systems (ITS) can be one solution. Besides, ITS aims to enable users to acquire knowledge and develop skills in a specific field. To achieve this goal, the ITS should learn how to react to the actions and needs of the users, and this should be achieved in a non-intrusive and transparent way. In order to provide personalized and adapted system, it is necessary to know the preferences and habits of users. Thus, the ability to learn patterns of behaviour becomes an essential aspect for the successful implementation of an ITS. In this article, we present the student model of an ITS, in order to monitor the user’s biometric behaviour and their learning style during e-learning activities. In addition, a machine learning categorization model is presented that oversees student activity during the session. Additionally, this article highlights the main biometric behavioural variations for each activity, making these attributes enable the development of machine learning classifiers to predict users’ learning preferences. These results can be instrumental in improving ITS systems in e-learning environments and predict user behaviour based on their interaction with computers or other devices. © Springer Nature Switzerland AG 2020.","Conference paper","10.1007/978-3-030-23887-2_7","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85068623885&doi=10.1007%2f978-3-030-23887-2_7&partnerID=40&md5=6bc1f9658270a7b24d304e9e8105dce2","","","","","","","Cited by: 6","45630.959386574","45630.97568287","Duplicated"
"Automatic assessment of cognitive and emotional states in virtual reality-based flexibility training for four adolescents with autism","Moon, Jewoong and Ke, Fengfeng and Sokolikj, Zlatko","British Journal of Educational Technology","2020","Scopus","1766 – 1784","51","Tracking students’ learning states to provide tailored learner support is a critical element of an adaptive learning system. This study explores how an automatic assessment is capable of tracking learners’ cognitive and emotional states during virtual reality (VR)-based representational-flexibility training. This VR-based training program aims to promote the flexibility of adolescents with autism spectrum disorder (ASD) in interpreting, selecting and creating multimodal representations during STEM-related design problem solving. For the automatic assessment, we used both natural language processing (NLP) and machine-learning techniques to develop a multi-label classification model. We then trained the model with the data from a total of audio- and video-recorded 66 training sessions of four adolescents with ASD. To validate the model, we implemented both k-fold cross-validations and the manual evaluations by expert reviewers. The study finding suggests the feasibility of implementing the NLP and machine-learning driven automatic assessment to track and assess the cognitive and emotional states of individuals with ASD during VR-based flexibility training. The study finding also denotes the importance and viability of providing adaptive supports to maintain learners’ cognitive and affective engagement in a highly interactive digital learning environment. © 2020 British Educational Research Association","Article","10.1111/bjet.13005","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85088050910&doi=10.1111%2fbjet.13005&partnerID=40&md5=4ea5b40eb774b0de6b11c8fdcde6e74c","","","","","","","Cited by: 33","45630.959386574","45630.972395833","Duplicated"
"A review of intelligent tutorial systems in computer and web based education","Alfaro, Luis and Rivera, Claudia and Castãneda, Elisa and Zũniga-Cueva, Jesus and Rivera-Chavez, María and Fialho, Francisco","International Journal of Advanced Computer Science and Applications","2020","Scopus","755 – 763","","ITS (Intelligent Tutoring Systems) are integrated and complex systems, designed and developed using approaches and methods of artificial intelligence (AI), for the resolution of problems and requirements of the teaching/learning activities in the field of education and training of students and the workforce based in computers an web based emerging resources. These systems can establish the level of student knowledge and the learning strategies used to improve the level of knowledge to support the detection and correction of student misconceptions. Their purpose is to contribute to the process of teaching and learning in a given area of knowledge, respecting the individuality of the student. In this paper, a review of intelligent tutorial systems (ITS) is presented, from the perspective of their application and usability in modern learning concepts. The methodology used was that of bibliographical review of classic works of the printed and digital literature in relation to ITS and e-Learning systems, as well as searches in diverse databases, of theses and works in universities and digital repositories. The main weakness of the research lies in the fact that the search was limited to documents published in the English, Spanish and Portuguese. © Science and Information Organization.","Article","10.14569/ijacsa.2020.0110295","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85081274134&doi=10.14569%2fijacsa.2020.0110295&partnerID=40&md5=a303dad67d0ed2d95737c42fb7b28962","","","","","","","Cited by: 6; All Open Access, Gold Open Access","45630.959386574","45630.971944444","Duplicated"
"Conceptual Framework of an Intelligent Tutor for Teaching English Grammar to High School Students","Kaur, Parneet and Kumar, Harish and Kaushal, Sakshi","","2020","ACM Digital Library","64–70","","This paper presents a framework for an intelligent tutoring system (ITS) to teach English grammar to high school students. The framework includes scripts to teach a student about a particular topic followed by assessment related to the topic. It also provides learning material in the form of gifs and videos to supplement text for better understanding. Deep learning methods have been used to automatically fetch answers to Multiple Choice Questions (MCQs) based assessments. Machine learning algorithms have been used to automatically detect student's learning styles for language. The framework also includes analyzing cognitive thinking level of the student according to bloom's order of thinking skills.","","10.1145/3369255.3369309","https://doi-org.ez39.periodicos.capes.gov.br/10.1145/3369255.3369309","","","prepositions, e-learning, cognitive skills, bloom's taxonomy, Intelligent tutoring systems","Association for Computing Machinery","","","","45630.95619213","45631.553946759","Rejected"
"STUART: an intelligent tutoring system for increasing scalability of distance education courses","Damasceno, Adson R. P. and Martins, Alan Rabelo and Chagas, Matheus Lima and Barros, Eudenia Magalh\~{a}es and Maia, Paulo Henrique M. and Oliveira, Francisco C. M. B.","","2020","ACM Digital Library","","","Distance Education Courses in Virtual Learning Environments (VLE) employ tutors for pedagogical support, monitoring of students, and detecting possible dropouts. However, when courses have a higher number of students, there can be a work overload on human tutors, impacting their work quality. To mitigate this problem, artificial smart tutors can be used not only to increase the capacity to meet students' needs but also to improve the monitoring of their performance. Increasing the scalability of online courses can be achieved using an intelligent artificial tutor. Goal: Analyze the viability of an intelligent tutor in meeting the main tutoring demands made by students on Dell Accessible Learning platform. Method: We developed an artifact called STUART that monitors DAL and interacts with students, providing automation, intelligence, and support to the teaching and learning process. We programmed STUART to meet reactively and proactively students' main demands, based on the corpus of interactions scenarios on previous courses. Fourteen participants attended two classes of a Distance Education Course, with and without STUART, where interaction data were collected. Results: For 76\% of the participants, STUART helped solve the more frequent problems in the pedagogical, technical, and content levels. There was an average reduction of 87\% in the requests for a human tutor and a reduction of 27\% in the time needed to finish tasks. That resulted in the preference of STUART compared to the human tutor for 85\% of the students. SUS (usability assessment) scored 86.","","10.1145/3424953.3426640","https://doi-org.ez39.periodicos.capes.gov.br/10.1145/3424953.3426640","","","artificial intelligence, distance education, human-machine interaction, intelligent tutoring systems, learning management system","Association for Computing Machinery","","","","45630.956261574","45631.554375","Rejected"
"Reinforcement Learning for the Adaptive Scheduling of Educational Activities","Bassen, Jonathan and Balaji, Bharathan and Schaarschmidt, Michael and Thille, Candace and Painter, Jay and Zimmaro, Dawn and Games, Alex and Fast, Ethan and Mitchell, John C.","","2020","ACM Digital Library","1–12","","Adaptive instruction for online education can increase learning gains and decrease the work required of learners, instructors, and course designers. Reinforcement Learning (RL) is a promising tool for developing instructional policies, as RL models can learn complex relationships between course activities, learner actions, and educational outcomes. This paper demonstrates the first RL model to schedule educational activities in real time for a large online course through active learning. Our model learns to assign a sequence of course activities while maximizing learning gains and minimizing the number of items assigned. Using a controlled experiment with over 1,000 learners, we investigate how this scheduling policy affects learning gains, dropout rates, and qualitative learner feedback. We show that our model produces better learning gains using fewer educational activities than a linear assignment condition, and produces similar learning gains to a self-directed condition using fewer educational activities and with lower dropout rates.","","10.1145/3313831.3376518","https://doi-org.ez39.periodicos.capes.gov.br/10.1145/3313831.3376518","","","adaptive learning, online education, reinforcement learning","Association for Computing Machinery","","","","45630.956261574","45631.555208333","Rejected"
"Constructing A Learning Style Model in an Adaptive Learning System","Huzi, Gao and Guocai, Yin","","2020","ACM Digital Library","41–47","","Most of the adaptive learning systems adopt the classical learning style theory, without considering the characteristics of online learning. Based on learning theories, the study analyses psychological activities in e-learning and the requirements of knowledge characteristics for students' learning activities, systematically determine learning style's elements of e-learning and design a new learning style model in an adaptive learning system. Furthermore, we design a scale which reliability and validity are measured by a reasonable experiment.","","10.1145/3418981.3418988","https://doi-org.ez39.periodicos.capes.gov.br/10.1145/3418981.3418988","","","scale, Learning style model, Adaptive learning system","Association for Computing Machinery","","","","45630.956261574","45631.555011574","Rejected"
"Classification of students' conceptual understanding in STEM education using their visual attention distributions: A comparison of three machine-learning approaches","Küchemann, Stefan and Klein, Pascal and Becker, Sebastian and Kumari, Niharika and Kuhn, Jochen","CSEDU 2020 - Proceedings of the 12th International Conference on Computer Supported Education","2020","Scopus","36 – 46","1","Line-Graphs play a central role in STEM education, for instance, for the instruction of mathematical concepts or for analyzing measurement data. Consequently, they have been studied intensively in the past years. However, despite this wide and frequent use, little is known about students' visual strategy when solving line-graph problems. In this work, we study two example line-graph problems addressing the slope and the area concept, and apply three supervised machine-learning approaches to classify the students performance using visual attention distributions measured via remote eye tracking. The results show the dominance of a large-margin classifier at small training data sets above random decision forests and a feed-forward artificial neural network. However, we observe a sensitivity of the large-margin classifier towards the discriminatory power of used features which provides a guide for a selection of machine learning algorithms for the optimization of adaptive learning environments. Copyright © 2020 by SCITEPRESS - Science and Technology Publications, Lda. All rights reserved","Conference paper","","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85090773287&partnerID=40&md5=2514d6f6e3a56e727ef5c06fbeda748f","","","","","","","Cited by: 13","45630.959386574","45631.481134259","Rejected"
"A Review on Techniques, Characteristics and approaches of an intelligent tutoring Chatbot system","Ashfaque, Mohammed Waseem and Tharewal, Sumegh and Iqhbal, Sohail and Kayte, Charansing N.","Proceedings of the 2020 International Conference on Smart Innovations in Design, Environment, Management, Planning and Computing, ICSIDEMPC 2020","2020","Scopus","258 – 262","","Today is the age of Advancement in the various types of machines or devices. And due to this advance. Attribute the difference between human and machine decrease. And the technology, of the computer-based learning system, are integrating more towards Advance tools and technologies like (A.I, N.L.P.)', such a system is known as an intelligent-Tutoring system or conversation system, like a chatbot. It is necessary that with rapidly changing technology, teaching and learning methods of the education system should adapt to increase and enhance the capabilities of teachers and abilities of the students. Therefore, the intelligent tutoring system (Chatbot) using natural language which allows humans to interact with a computer is one of the best alternatives of these requirements where the human tutor is replacing with a virtual tutor. Nowadays, an intelligent tutoring system(Chatbots) are in high demands in our various fields like teaching and learning in education, business, e-comm, online trading, public health care, and sports etc. Different techniques and processes are involved in designing and developing chatbots. This review paper aims to take a survey of the critical and necessary methods used in this communication and conversational agents. © 2020 IEEE.","Conference paper","10.1109/ICSIDEMPC49020.2020.9299583","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85099584865&doi=10.1109%2fICSIDEMPC49020.2020.9299583&partnerID=40&md5=b8f29de863b6da7772d86e8763187d5b","","","","","","","Cited by: 19","45630.959386574","45631.479525463","Rejected"
"""Individualized learning in a course with a tight schedule""","Marciniak, Jacek and Szczepanski, Marcin","Procedia Computer Science","2020","Scopus","2059 – 2068","176","The article presents a solution supporting individualised learning in courses with a tight schedule. Such courses pose additional organisational challenges and require appropriate tools. The presented solution is based on an Intelligent Tutoring System immersed in repository of e-learning content, which enables selection of content immediately before its provision to the student instead of at the beginning of a course. Thanks to this, the system, having identified the student's needs, is able to make available the most suitable repository content at a given stage of education. The flexibility of the system is guaranteed by modularisation of content and its logical division using the UCTS taxonomy. The content has been described by means of concepts arranged according to the specificity of the domain to which the resources belong in order to ensure that the ITS is able to select relevant content. The proposed solution was used to set up an Applications of Fuzzy Logic course, which was part of an Artificial Intelligence class. The course was conducted within a very limited time frame resulting from the COVID-19 epidemic. © 2020 The Authors. Published by Elsevier B.V.","Conference paper","10.1016/j.procs.2020.09.242","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85093361161&doi=10.1016%2fj.procs.2020.09.242&partnerID=40&md5=237bbde186603e4c8997c644559bc296","","","","","","","Cited by: 2; All Open Access, Gold Open Access, Green Open Access","45630.959386574","45631.477476852","Rejected"
"Integrating an intelligent tutoring system into an adaptive e-learning process","Hibbi, Fatima-Zohra and Abdoun, Otman and Haimoudi, El Khatir","Applied and Numerical Harmonic Analysis","2020","Scopus","141 – 150","","With the emergence of new technologies, a new way of learning called “e-learning” has appeared, based on interactive training. This helps learners to develop their skills, while making the learning process independent of time and place. Artificial intelligence (AI) techniques in education were tested to increase learning experience. AI researchers look for domain applications, beginning to apply their ideas by tracking students on a course. Intelligent systems apply artificial intelligence techniques to meet the needs of their users; these methods allow the performance of an e-learning system to be increased by analyzing and adapting the profile of learning behavior and learning styles. Therefore, the objective of this chapter is to present the requirements for integrating AI into e-learning systems. The results showed significant advantages when including AI techniques, specifically intelligent tutoring system, in the learning process. © Springer Nature Switzerland AG 2020.","Book chapter","10.1007/978-3-030-35202-8_8","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85097093191&doi=10.1007%2f978-3-030-35202-8_8&partnerID=40&md5=1a0de68b327df897a3326d7f9a2f4552","","","","","","","Cited by: 7","45630.959386574","45631.593009259","Rejected"
"Modelling an intelligent tutoring system based on supervised behaviour biometrics","Dalila, Duraes and Manuel, Rodrigues and Paulo, Novais","CEUR Workshop Proceedings","2020","Engineering Village","","2655","The needs of skilled people have grown exponentially, which means that resources for education/training are significantly more limited. Intelligent Tutoring Systems (ITS) aim to enable users to improve knowledge and develop skills in a specific field. Moreover, the ITS offers individual and autonomously tutoring making each user progress at their capacity. In this paper, we present a new approach of an ITS to monitor users' biométrie behaviour, learning style, and user's emotional state during e-learning activities to improve learning. So we develop a new framework to obtain emotional student state and learning style, based on a non-intrusive and non-invasive way.<br/> © 2020 CEUR-WS. All rights reserved.","","","","","","Intelligent vehicle highway systems;Education computing;User profile;","","16130073","English","Emotional state;Intelligent tutoring system;Learning Style;New approaches;Non-intrusive;Non-invasive way;","45631.610486111","45631.622118056","Rejected"
